Mat;Ind;Ipa;Ing;AVG;SUM;JURUSAN;;
77,5;82;87,5;38;71,25;285;ARSITEK ;;
62,5;82;70;56;67,625;270,5;ARSITEK ;;
67,5;88;82,5;48;71,5;286;ARSITEK ;;
75;80;77,5;50;70,625;282,5;ARSITEK ;;
65;86;67,5;58;69,125;276,5;ARSITEK ;;
95;90;90;60;83,75;335;ARSITEK ;;
57,5;84;62,5;64;67;268;ARSITEK ;;
70;78;75;52;68,75;275;ARSITEK ;;
87,5;80;87,5;62;79,25;317;ARSITEK ;;
80;82;82,5;58;75,625;302,5;ARSITEK ;;
95;94;80;52;80,25;321;ARSITEK ;;
47,5;76;80;68;67,875;271,5;ARSITEK ;;
72,5;82;62,5;56;68,25;273;ARSITEK ;;
70;80;62,5;52;66,125;264,5;ARSITEK ;;
92,5;78;77,5;48;74;296;ARSITEK ;;
87,5;82;80;64;78,375;313,5;ARSITEK ;;
100;90;82,5;56;82,125;328,5;ARSITEK ;;
87,5;62;60;52;65,375;261,5;ARSITEK ;;
85;78;55;70;72;288;ARSITEK ;;
90;84;77,5;56;76,875;307,5;ARSITEK ;;
75;82;72,5;44;68,375;273,5;ARSITEK ;;
95;88;85;76;86;344;ARSITEK ;;
87,5;78;77,5;82;81,25;325;ARSITEK ;;
97,5;82;77,5;68;81,25;325;ARSITEK ;;
85;92;80;76;83,25;333;ARSITEK ;;
85;94;65;50;73,5;294;ARSITEK ;;
85;92;90;46;78,25;313;ARSITEK ;;
95;88;82,5;88;88,375;353,5;ARSITEK ;;
100;88;92,5;80;90,125;360,5;ARSITEK ;;
92,5;90;85;90;89,375;357,5;ARSITEK ;;
60;82;85;54;70,25;281;ARSITEK ;;
90;86;90;54;80;320;ARSITEK ;;
85;86;57,5;62;72,625;290,5;ARSITEK ;;
75;88;60;52;68,75;275;ARSITEK ;;
77,5;92;77,5;64;77,75;311;ARSITEK ;;
72,5;84;67,5;44;67;268;ARSITEK ;;
80;80;82,5;66;77,125;308,5;ARSITEK ;;
52,5;76;62,5;66;64,25;257;ARSITEK ;;
87,5;86;75;50;74,625;298,5;ARSITEK ;;
75;88;77,5;62;75,625;302,5;ARSITEK ;;
62,5;90;87,5;54;73,5;294;ARSITEK ;;
55;80;70;50;63,75;255;ARSITEK ;;
67,5;80;75;48;67,625;270,5;ARSITEK ;;
65;84;70;48;66,75;267;ARSITEK ;;
75;76;72,5;42;66,375;265,5;ARSITEK ;;
87,5;94;82,5;54;79,5;318;ARSITEK ;;
75;92;70;68;76,25;305;ARSITEK ;;
72,5;86;60;52;67,625;270,5;ARSITEK ;;
67,5;76;67,5;54;66,25;265;ARSITEK ;;
50;90;57,5;52;62,375;249,5;ARSITEK ;;
57,5;84;72,5;44;64,5;258;ARSITEK ;;
95;88;92,5;60;83,875;335,5;ARSITEK ;;
75;76;67,5;42;65,125;260,5;ARSITEK ;;
60;80;72,5;46;64,625;258,5;ARSITEK ;;
57,5;80;72,5;44;63,5;254;ARSITEK ;;
85;78;87,5;64;78,625;314,5;ARSITEK ;;
87,5;82;72,5;72;78,5;314;ARSITEK ;;
65;84;67,5;46;65,625;262,5;ARSITEK ;;
80;92;82,5;66;80,125;320,5;ARSITEK ;;
67,5;72;77,5;44;65,25;261;ARSITEK ;;
87,5;82;67,5;50;71,75;287;ARSITEK ;;
87,5;94;77,5;54;78,25;313;ARSITEK ;;
90;92;90;66;84,5;338;ARSITEK ;;
97,5;90;92,5;78;89,5;358;ARSITEK ;;
97,5;96;92,5;72;89,5;358;TEKNIK SIPIL;;
90;90;85;74;84,75;339;TEKNIK SIPIL;;
80;88;75;58;75,25;301;TEKNIK SIPIL;;
80;80;67,5;40;66,875;267,5;TEKNIK SIPIL;;
77,5;76;72,5;62;72;288;TEKNIK SIPIL;;
67,5;86;70;56;69,875;279,5;TEKNIK SIPIL;;
77,5;80;80;46;70,875;283,5;TEKNIK SIPIL;;
72,5;86;85;46;72,375;289,5;TEKNIK SIPIL;;
72,5;88;85;68;78,375;313,5;TEKNIK SIPIL;;
70;86;72,5;46;68,625;274,5;TEKNIK SIPIL;;
92,5;90;72,5;46;75,25;301;TEKNIK SIPIL;;
95;94;85;54;82;328;TEKNIK SIPIL;;
87,5;88;75;44;73,625;294,5;TEKNIK SIPIL;;
87,5;86;85;58;79,125;316,5;TEKNIK SIPIL;;
100;84;92,5;88;91,125;364,5;TEKNIK SIPIL;;
92,5;94;82,5;56;81,25;325;TEKNIK SIPIL;;
92,5;80;72,5;48;73,25;293;TEKNIK SIPIL;;
90;80;80;44;73,5;294;TEKNIK SIPIL;;
75;74;65;78;73;292;TEKNIK SIPIL;;
72,5;88;67,5;46;68,5;274;TEKNIK SIPIL;;
57,5;82;80;58;69,375;277,5;TEKNIK SIPIL;;
75;78;62,5;54;67,375;269,5;TEKNIK SIPIL;;
60;80;75;52;66,75;267;TEKNIK SIPIL;;
65;76;65;52;64,5;258;TEKNIK SIPIL;;
85;84;70;54;73,25;293;TEKNIK SIPIL;;
82,5;80;80;52;73,625;294,5;TEKNIK SIPIL;;
45;86;47,5;68;61,625;246,5;TEKNIK SIPIL;;
90;84;80;52;76,5;306;TEKNIK SIPIL;;
87,5;82;77,5;38;71,25;285;TEKNIK SIPIL;;
47,5;84;67,5;50;62,25;249;TEKNIK SIPIL;;
80;80;80;60;75;300;TEKNIK SIPIL;;
80;90;82,5;58;77,625;310,5;TEKNIK SIPIL;;
95;88;82,5;64;82,375;329,5;LISTRIK;;
67,5;90;62,5;40;65;260;LISTRIK;;
82,5;88;87,5;70;82;328;LISTRIK;;
72,5;82;75;56;71,375;285,5;LISTRIK;;
50;88;62,5;46;61,625;246,5;LISTRIK;;
85;88;87,5;76;84,125;336,5;LISTRIK;;
82,5;92;60;46;70,125;280,5;LISTRIK;;
90;82;82,5;66;80,125;320,5;LISTRIK;;
87,5;82;80;48;74,375;297,5;LISTRIK;;
57,5;80;55;68;65,125;260,5;LISTRIK;;
60;82;57,5;64;65,875;263,5;LISTRIK;;
72,5;86;60;48;66,625;266,5;LISTRIK;;
75;80;77,5;54;71,625;286,5;LISTRIK;;
62,5;88;70;62;70,625;282,5;LISTRIK;;
62,5;90;75;84;77,875;311,5;LISTRIK;;
100;90;100;52;85,5;342;LISTRIK;;
80;84;80;58;75,5;302;LISTRIK;;
65;84;67,5;60;69,125;276,5;LISTRIK;;
70;84;72,5;62;72,125;288,5;LISTRIK;;
90;84;75;64;78,25;313;LISTRIK;;
75;86;80;72;78,25;313;LISTRIK;;
75;90;77,5;74;79,125;316,5;LISTRIK;;
80;86;67,5;60;73,375;293,5;LISTRIK;;
90;80;80;54;76;304;LISTRIK;;
82,5;80;82,5;36;70,25;281;LISTRIK;;
90;92;82,5;44;77,125;308,5;LISTRIK;;
62,5;82;80;44;67,125;268,5;LISTRIK;;
65;94;75;40;68,5;274;LISTRIK;;
65;86;62,5;60;68,375;273,5;LISTRIK;;
72,5;78;67,5;50;67;268;LISTRIK;;
80;92;72,5;52;74,125;296,5;LISTRIK;;
47,5;74;62,5;64;62;248;LISTRIK;;
87,5;82;75;48;73,125;292,5;LISTRIK;;
87,5;84;87,5;46;76,25;305;LISTRIK;;
90;88;80;50;77;308;LISTRIK;;
60;70;72,5;56;64,625;258,5;LISTRIK;;
70;80;70;48;67;268;LISTRIK;;
45;90;52,5;52;59,875;239,5;LISTRIK;;
75;70;65;62;68;272;LISTRIK;;
62,5;84;55;52;63,375;253,5;LISTRIK;;
82,5;82;52,5;62;69,75;279;LISTRIK;;
60;78;65;58;65,25;261;LISTRIK;;
72,5;84;67,5;52;69;276;LISTRIK;;
85;86;85;62;79,5;318;LISTRIK;;
60;86;80;50;69;276;LISTRIK;;
75;84;85;44;72;288;LISTRIK;;
75;96;82,5;50;75,875;303,5;LISTRIK;;
60;82;80;62;71;284;LISTRIK;;
97,5;92;87,5;64;85,25;341;LISTRIK;;
87,5;90;85;58;80,125;320,5;LISTRIK;;
85;84;87,5;54;77,625;310,5;LISTRIK;;
70;94;82,5;64;77,625;310,5;LISTRIK;;
72,5;80;80;60;73,125;292,5;LISTRIK;;
97,5;90;97,5;64;87,25;349;LISTRIK;;
62,5;86;62,5;54;66,25;265;LISTRIK;;
77,5;80;70;54;70,375;281,5;LISTRIK;;
60;90;55;52;64,25;257;LISTRIK;;
67,5;82;70;54;68,375;273,5;LISTRIK;;
77,5;76;70;52;68,875;275,5;LISTRIK;;
60;82;70;56;67;268;LISTRIK;;
