Mat;Ind;Ipa;Ing;Rata;Jumlah
77.5;82;87.5;38;71.25;285
62.5;82;70;56;67.625;270.5
67.5;88;82.5;48;71.5;286
75;80;77.5;50;70.625;282.5
65;86;67.5;58;69.125;276.5
95;90;90;60;83.75;335
57.5;84;62.5;64;67;268
70;78;75;52;68.75;275
87.5;80;87.5;62;79.25;317
80;82;82.5;58;75.625;302.5
95;94;80;52;80.25;321
47.5;76;80;68;67.875;271.5
72.5;82;62.5;56;68.25;273
70;80;62.5;52;66.125;264.5
92.5;78;77.5;48;74;296
87.5;82;80;64;78.375;313.5
100;90;82.5;56;82.125;328.5
87.5;62;60;52;65.375;261.5
85;78;55;70;72;288
90;84;77.5;56;76.875;307.5
75;82;72.5;44;68.375;273.5
95;88;85;76;86;344
87.5;78;77.5;82;81.25;325
97.5;82;77.5;68;81.25;325
85;92;80;76;83.25;333
85;94;65;50;73.5;294
85;92;90;46;78.25;313
95;88;82.5;88;88.375;353.5
100;88;92.5;80;90.125;360.5
92.5;90;85;90;89.375;357.5
60;82;85;54;70.25;281
90;86;90;54;80;320
85;86;57.5;62;72.625;290.5
75;88;60;52;68.75;275
77.5;92;77.5;64;77.75;311
72.5;84;67.5;44;67;268
80;80;82.5;66;77.125;308.5
52.5;76;62.5;66;64.25;257
87.5;86;75;50;74.625;298.5
75;88;77.5;62;75.625;302.5
62.5;90;87.5;54;73.5;294
55;80;70;50;63.75;255
67.5;80;75;48;67.625;270.5
65;84;70;48;66.75;267
75;76;72.5;42;66.375;265.5
87.5;94;82.5;54;79.5;318
75;92;70;68;76.25;305
72.5;86;60;52;67.625;270.5
67.5;76;67.5;54;66.25;265
50;90;57.5;52;62.375;249.5
57.5;84;72.5;44;64.5;258
95;88;92.5;60;83.875;335.5
75;76;67.5;42;65.125;260.5
60;80;72.5;46;64.625;258.5
57.5;80;72.5;44;63.5;254
85;78;87.5;64;78.625;314.5
87.5;82;72.5;72;78.5;314
65;84;67.5;46;65.625;262.5
80;92;82.5;66;80.125;320.5
67.5;72;77.5;44;65.25;261
87.5;82;67.5;50;71.75;287
87.5;94;77.5;54;78.25;313
90;92;90;66;84.5;338
97.5;90;92.5;78;89.5;358
97.5;96;92.5;72;89.5;358
90;90;85;74;84.75;339
80;88;75;58;75.25;301
80;80;67.5;40;66.875;267.5
77.5;76;72.5;62;72;288
67.5;86;70;56;69.875;279.5
77.5;80;80;46;70.875;283.5
72.5;86;85;46;72.375;289.5
72.5;88;85;68;78.375;313.5
70;86;72.5;46;68.625;274.5
92.5;90;72.5;46;75.25;301
95;94;85;54;82;328
87.5;88;75;44;73.625;294.5
87.5;86;85;58;79.125;316.5
100;84;92.5;88;91.125;364.5
92.5;94;82.5;56;81.25;325
92.5;80;72.5;48;73.25;293
90;80;80;44;73.5;294
75;74;65;78;73;292
72.5;88;67.5;46;68.5;274
57.5;82;80;58;69.375;277.5
75;78;62.5;54;67.375;269.5
60;80;75;52;66.75;267
65;76;65;52;64.5;258
85;84;70;54;73.25;293
82.5;80;80;52;73.625;294.5
45;86;47.5;68;61.625;246.5
90;84;80;52;76.5;306
87.5;82;77.5;38;71.25;285
47.5;84;67.5;50;62.25;249
80;80;80;60;75;300
80;90;82.5;58;77.625;310.5
95;88;82.5;64;82.375;329.5
67.5;90;62.5;40;65;260
82.5;88;87.5;70;82;328
72.5;82;75;56;71.375;285.5
50;88;62.5;46;61.625;246.5
85;88;87.5;76;84.125;336.5
82.5;92;60;46;70.125;280.5
90;82;82.5;66;80.125;320.5
87.5;82;80;48;74.375;297.5
57.5;80;55;68;65.125;260.5
60;82;57.5;64;65.875;263.5
72.5;86;60;48;66.625;266.5
75;80;77.5;54;71.625;286.5
62.5;88;70;62;70.625;282.5
62.5;90;75;84;77.875;311.5
100;90;100;52;85.5;342
80;84;80;58;75.5;302
65;84;67.5;60;69.125;276.5
70;84;72.5;62;72.125;288.5
90;84;75;64;78.25;313
75;86;80;72;78.25;313
75;90;77.5;74;79.125;316.5
80;86;67.5;60;73.375;293.5
90;80;80;54;76;304
82.5;80;82.5;36;70.25;281
90;92;82.5;44;77.125;308.5
62.5;82;80;44;67.125;268.5
65;94;75;40;68.5;274
65;86;62.5;60;68.375;273.5
72.5;78;67.5;50;67;268
80;92;72.5;52;74.125;296.5
