Mat;Ind;Ipa;Ing;Rata;Jumlah
57.5;86;70;58;67.88;271.50
72.5;88;80;68;77.13;308.50
72.5;70;42.5;44;57.25;229.00
72.5;86;57.5;52;67.00;268.00
67.5;84;47.5;46;61.25;245.00
42.5;94;62.5;56;63.75;255.00
40;82;67.5;48;59.38;237.50
52.5;88;55;66;65.38;261.50
50;76;70;54;62.50;250.00
45;74;50;52;55.25;221.00
40;76;67.5;50;58.38;233.50
45;70;52.5;50;54.38;217.50
57.5;70;65;48;60.13;240.50
62.5;80;65;42;62.38;249.50
77.5;82;47.5;40;61.75;247.00
40;78;67.5;54;59.88;239.50
40;66;50;60;54.00;216.00
60;82;50;42;58.50;234.00
45;82;50;56;58.25;233.00
52.5;70;35;68;56.38;225.50
52.5;74;70;46;60.63;242.50
47.5;68;62.5;42;55.00;220.00
55;86;57.5;52;62.63;250.50
75;76;65;70;71.50;286.00
52.5;78;47.5;50;57.00;228.00
42.5;78;50;62;58.13;232.50
72.5;80;62.5;50;66.25;265.00
30;72;62.5;58;55.63;222.50
40;70;60;50;55.00;220.00
57.5;74;60;52;60.88;243.50
70;74;42.5;44;57.63;230.50
65;86;72.5;26;62.38;249.50
65;88;60;40;63.25;253.00
57.5;74;55;42;57.13;228.50
42.5;88;55;50;58.88;235.50
35;74;65;74;62.00;248.00
87.5;94;62.5;44;72.00;288.00
85;88;85;66;81.00;324.00
82.5;96;77.5;88;86.00;344.00
62.5;80;55;56;63.38;253.50
72.5;92;55;60;69.88;279.50
97.5;92;90;78;89.38;357.50
97.5;82;70;64;78.38;313.50
55;76;52.5;60;60.88;243.50
47.5;82;65;60;63.63;254.50
47.5;72;67.5;46;58.25;233.00
60;78;40;60;59.50;238.00
47.5;82;57.5;66;63.25;253.00
95;96;92.5;90;93.38;373.50
80;76;62.5;54;68.13;272.50
45;88;77.5;54;66.13;264.50
65;76;37.5;42;55.13;220.50
60;72;67.5;34;58.38;233.50
67.5;86;60;54;66.88;267.50
52.5;84;65;46;61.88;247.50
70;96;70;70;76.50;306.00
42.5;66;47.5;66;55.50;222.00
42.5;80;65;42;57.38;229.50
47.5;78;65;48;59.63;238.50
37.5;80;60;46;55.88;223.50
40;76;52.5;52;55.13;220.50
65;74;50;60;62.25;249.00
87.5;92;67.5;74;80.25;321.00
57.5;74;60;70;65.38;261.50
62.5;70;67.5;42;60.50;242.00
82.5;92;62.5;60;74.25;297.00
90;80;75;64;77.25;309.00
55;68;65;52;60.00;240.00
40;88;57.5;40;56.38;225.50
60;56;67.5;52;58.88;235.50
50;74;62.5;52;59.63;238.50
47.5;78;55;64;61.13;244.50
50;78;60;52;60.00;240.00
57.5;70;52.5;40;55.00;220.00
65;98;62.5;98;80.88;323.50
70;84;55;40;62.25;249.00
60;84;60;50;63.50;254.00
47.5;82;52.5;44;56.50;226.00
95;86;82.5;68;82.88;331.50
47.5;80;60;46;58.38;233.50
45;94;52.5;40;57.88;231.50
42.5;82;70;44;59.63;238.50
45;90;50;58;60.75;243.00
60;86;65;60;67.75;271.00
47.5;74;42.5;56;55.00;220.00
97.5;90;87.5;74;87.25;349.00
77.5;78;65;42;65.63;262.50
60;82;65;46;63.25;253.00
45;78;52.5;50;56.38;225.50
67.5;90;70;86;78.38;313.50
62.5;80;57.5;38;59.50;238.00
62.5;88;67.5;88;76.50;306.00
50;86;57.5;54;61.88;247.50
65;92;82.5;68;76.88;307.50
45;76;52.5;66;59.88;239.50
40;82;77.5;58;64.38;257.50
82.5;88;72.5;50;73.25;293.00
97.5;94;90;82;90.88;363.50
52.5;74;52.5;44;55.75;223.00
47.5;80;60;50;59.38;237.50
65;74;52.5;42;58.38;233.50
32.5;86;57.5;48;56.00;224.00
52.5;88;60;80;70.13;280.50
85;86;70;74;78.75;315.00
62.5;80;67.5;64;68.50;274.00
77.5;70;60;44;62.88;251.50
67.5;86;57.5;58;67.25;269.00
65;74;52.5;60;62.88;251.50
80;70;72.5;46;67.13;268.50
55;68;70;56;62.25;249.00
60;82;62.5;56;65.13;260.50
52.5;82;67.5;54;64.00;256.00
52.5;78;65;46;60.38;241.50
47.5;82;72.5;46;62.00;248.00
72.5;90;75;68;76.38;305.50
57.5;84;57.5;60;64.75;259.00
82.5;82;40;54;64.63;258.50
60;68;65;50;60.75;243.00
47.5;82;60;70;64.88;259.50
77.5;68;52.5;46;61.00;244.00
52.5;90;52.5;48;60.75;243.00
55;86;67.5;80;72.13;288.50
50;88;67.5;56;65.38;261.50
42.5;86;80;54;65.63;262.50
47.5;88;60;62;64.38;257.50
67.5;76;62.5;40;61.50;246.00
62.5;72;75;58;66.88;267.50
82.5;86;77.5;80;81.50;326.00
67.5;84;62.5;40;63.50;254.00
55;74;67.5;58;63.63;254.50
45;82;50;68;61.25;245.00
60;86;52.5;50;62.13;248.50
57.5;90;50;44;60.38;241.50
45;78;62.5;64;62.38;249.50
50;78;65;60;63.25;253.00
42.5;82;70;50;61.13;244.50
95;90;77.5;86;87.13;348.50
60;84;62.5;58;66.13;264.50
62.5;88;70;38;64.63;258.50
65;90;50;58;65.75;263.00
77.5;74;60;46;64.38;257.50
65;82;62.5;50;64.88;259.50
55;86;65;52;64.50;258.00
60;78;62.5;56;64.13;256.50
70;74;52.5;40;59.13;236.50
90;82;92.5;50;78.63;314.50
52.5;80;77.5;64;68.50;274.00
47.5;78;62.5;50;59.50;238.00
60;84;77.5;36;64.38;257.50
47.5;90;65;56;64.63;258.50
55;82;52.5;54;60.88;243.50
57.5;78;57.5;68;65.25;261.00
50;66;60;64;60.00;240.00
37.5;74;65;44;55.13;220.50
57.5;80;57.5;58;63.25;253.00
60;68;65;52;61.25;245.00
67.5;76;62.5;58;66.00;264.00
60;80;55;56;62.75;251.00
67.5;78;70;50;66.38;265.50
70;78;57.5;56;65.38;261.50
60;88;62.5;52;65.63;262.50
65;82;57.5;50;63.63;254.50
40;78;77.5;46;60.38;241.50
55;82;57.5;58;63.13;252.50
62.5;84;57.5;52;64.00;256.00
62.5;82;55;46;61.38;245.50
52.5;76;60;60;62.13;248.50
57.5;74;67.5;42;60.25;241.00
47.5;80;75;56;64.63;258.50
52.5;84;62.5;50;62.25;249.00
37.5;82;52.5;76;62.00;248.00
97.5;80;80;86;85.88;343.50
67.5;92;70;60;72.38;289.50
57.5;78;60;52;61.88;247.50
40;92;72.5;56;65.13;260.50
52.5;76;67.5;46;60.50;242.00
42.5;78;67.5;56;61.00;244.00
77.5;76;47.5;42;60.75;243.00
92.5;88;90;74;86.13;344.50
52.5;82;65;60;64.88;259.50
67.5;86;67.5;48;67.25;269.00
52.5;80;70;52;63.63;254.50
87.5;78;80;62;76.88;307.50
62.5;76;60;58;64.13;256.50
95;88;70;66;79.75;319.00
87.5;84;60;44;68.88;275.50
42.5;82;80;68;68.13;272.50
72.5;92;70;62;74.13;296.50
57.5;78;62.5;60;64.50;258.00
65;84;67.5;58;68.63;274.50
42.5;82;62.5;70;64.25;257.00
60;74;75;74;70.75;283.00
72.5;76;67.5;42;64.50;258.00
90;90;80;56;79.00;316.00
75;84;57.5;78;73.63;294.50
85;74;75;52;71.50;286.00
65;82;57.5;74;69.63;278.50
65;90;62.5;64;70.38;281.50
50;88;55;62;63.75;255.00
82.5;86;77.5;50;74.00;296.00
85;84;70;54;73.25;293.00
67.5;76;65;52;65.13;260.50
62.5;94;67.5;58;70.50;282.00
70;86;60;50;66.50;266.00
65;84;57.5;48;63.63;254.50
70;86;65;64;71.25;285.00
