Mat;Ind;Ipa;Ing;Rata;Jumlah
77.5;82;87.5;38;71.25;285.00
62.5;82;70;56;67.63;270.50
67.5;88;82.5;48;71.50;286.00
75;80;77.5;50;70.63;282.50
65;86;67.5;58;69.13;276.50
95;90;90;60;83.75;335.00
57.5;84;62.5;64;67.00;268.00
70;78;75;52;68.75;275.00
87.5;80;87.5;62;79.25;317.00
80;82;82.5;58;75.63;302.50
95;94;80;52;80.25;321.00
47.5;76;80;68;67.88;271.50
72.5;82;62.5;56;68.25;273.00
70;80;62.5;52;66.13;264.50
92.5;78;77.5;48;74.00;296.00
87.5;82;80;64;78.38;313.50
100;90;82.5;56;82.13;328.50
87.5;62;60;52;65.38;261.50
85;78;55;70;72.00;288.00
90;84;77.5;56;76.88;307.50
75;82;72.5;44;68.38;273.50
95;88;85;76;86.00;344.00
87.5;78;77.5;82;81.25;325.00
97.5;82;77.5;68;81.25;325.00
85;92;80;76;83.25;333.00
85;94;65;50;73.50;294.00
85;92;90;46;78.25;313.00
95;88;82.5;88;88.38;353.50
100;88;92.5;80;90.13;360.50
92.5;90;85;90;89.38;357.50
60;82;85;54;70.25;281.00
90;86;90;54;80.00;320.00
85;86;57.5;62;72.63;290.50
75;88;60;52;68.75;275.00
77.5;92;77.5;64;77.75;311.00
72.5;84;67.5;44;67.00;268.00
80;80;82.5;66;77.13;308.50
52.5;76;62.5;66;64.25;257.00
87.5;86;75;50;74.63;298.50
75;88;77.5;62;75.63;302.50
62.5;90;87.5;54;73.50;294.00
55;80;70;50;63.75;255.00
67.5;80;75;48;67.63;270.50
65;84;70;48;66.75;267.00
75;76;72.5;42;66.38;265.50
87.5;94;82.5;54;79.50;318.00
75;92;70;68;76.25;305.00
72.5;86;60;52;67.63;270.50
67.5;76;67.5;54;66.25;265.00
50;90;57.5;52;62.38;249.50
57.5;84;72.5;44;64.50;258.00
95;88;92.5;60;83.88;335.50
75;76;67.5;42;65.13;260.50
60;80;72.5;46;64.63;258.50
57.5;80;72.5;44;63.50;254.00
85;78;87.5;64;78.63;314.50
87.5;82;72.5;72;78.50;314.00
65;84;67.5;46;65.63;262.50
80;92;82.5;66;80.13;320.50
67.5;72;77.5;44;65.25;261.00
87.5;82;67.5;50;71.75;287.00
87.5;94;77.5;54;78.25;313.00
90;92;90;66;84.50;338.00
97.5;90;92.5;78;89.50;358.00
97.5;96;92.5;72;89.50;358.00
90;90;85;74;84.75;339.00
80;88;75;58;75.25;301.00
80;80;67.5;40;66.88;267.50
77.5;76;72.5;62;72.00;288.00
67.5;86;70;56;69.88;279.50
77.5;80;80;46;70.88;283.50
72.5;86;85;46;72.38;289.50
72.5;88;85;68;78.38;313.50
70;86;72.5;46;68.63;274.50
92.5;90;72.5;46;75.25;301.00
95;94;85;54;82.00;328.00
87.5;88;75;44;73.63;294.50
87.5;86;85;58;79.13;316.50
100;84;92.5;88;91.13;364.50
92.5;94;82.5;56;81.25;325.00
92.5;80;72.5;48;73.25;293.00
90;80;80;44;73.50;294.00
75;74;65;78;73.00;292.00
72.5;88;67.5;46;68.50;274.00
57.5;82;80;58;69.38;277.50
75;78;62.5;54;67.38;269.50
60;80;75;52;66.75;267.00
65;76;65;52;64.50;258.00
85;84;70;54;73.25;293.00
82.5;80;80;52;73.63;294.50
45;86;47.5;68;61.63;246.50
90;84;80;52;76.50;306.00
87.5;82;77.5;38;71.25;285.00
47.5;84;67.5;50;62.25;249.00
80;80;80;60;75.00;300.00
80;90;82.5;58;77.63;310.50
95;88;82.5;64;82.38;329.50
67.5;90;62.5;40;65.00;260.00
82.5;88;87.5;70;82.00;328.00
72.5;82;75;56;71.38;285.50
50;88;62.5;46;61.63;246.50
85;88;87.5;76;84.13;336.50
82.5;92;60;46;70.13;280.50
90;82;82.5;66;80.13;320.50
87.5;82;80;48;74.38;297.50
57.5;80;55;68;65.13;260.50
60;82;57.5;64;65.88;263.50
72.5;86;60;48;66.63;266.50
75;80;77.5;54;71.63;286.50
62.5;88;70;62;70.63;282.50
62.5;90;75;84;77.88;311.50
100;90;100;52;85.50;342.00
80;84;80;58;75.50;302.00
65;84;67.5;60;69.13;276.50
70;84;72.5;62;72.13;288.50
90;84;75;64;78.25;313.00
75;86;80;72;78.25;313.00
75;90;77.5;74;79.13;316.50
80;86;67.5;60;73.38;293.50
90;80;80;54;76.00;304.00
82.5;80;82.5;36;70.25;281.00
90;92;82.5;44;77.13;308.50
62.5;82;80;44;67.13;268.50
65;94;75;40;68.50;274.00
65;86;62.5;60;68.38;273.50
72.5;78;67.5;50;67.00;268.00
80;92;72.5;52;74.13;296.50
47.5;74;62.5;64;62.00;248.00
87.5;82;75;48;73.13;292.50
87.5;84;87.5;46;76.25;305.00
90;88;80;50;77.00;308.00
60;70;72.5;56;64.63;258.50
70;80;70;48;67.00;268.00
45;90;52.5;52;59.88;239.50
75;70;65;62;68.00;272.00
62.5;84;55;52;63.38;253.50
82.5;82;52.5;62;69.75;279.00
60;78;65;58;65.25;261.00
72.5;84;67.5;52;69.00;276.00
85;86;85;62;79.50;318.00
60;86;80;50;69.00;276.00
75;84;85;44;72.00;288.00
75;96;82.5;50;75.88;303.50
60;82;80;62;71.00;284.00
97.5;92;87.5;64;85.25;341.00
87.5;90;85;58;80.13;320.50
85;84;87.5;54;77.63;310.50
70;94;82.5;64;77.63;310.50
72.5;80;80;60;73.13;292.50
97.5;90;97.5;64;87.25;349.00
62.5;86;62.5;54;66.25;265.00
77.5;80;70;54;70.38;281.50
60;90;55;52;64.25;257.00
67.5;82;70;54;68.38;273.50
77.5;76;70;52;68.88;275.50
60;82;70;56;67.00;268.00
60;82;62.5;50;63.63;254.50
82.5;82;57.5;66;72.00;288.00
55;84;70;56;66.25;265.00
85;80;77.5;58;75.13;300.50
80;90;75;56;75.25;301.00
57.5;84;60;46;61.88;247.50
85;82;67.5;46;70.13;280.50
87.5;86;55;64;73.13;292.50
50;90;70;62;68.00;272.00
52.5;86;60;62;65.13;260.50
75;82;65;52;68.50;274.00
75;92;77.5;58;75.63;302.50
92.5;84;70;64;77.63;310.50
67.5;90;70;62;72.38;289.50
