Mat,Ind,Ipa,Ing,Rata,Jumlah,JURUSAN
57.5,86,58,70,67.88,271.50,TEKNIK SIPIL
72.5,88,68,80,77.13,308.50,TEKNIK SIPIL
72.5,70,44,42.5,57.25,229.00,TEKNIK SIPIL
72.5,86,52,57.5,67.00,268.00,TEKNIK SIPIL
67.5,84,46,47.5,61.25,245.00,TEKNIK SIPIL
42.5,94,56,62.5,63.75,255.00,TEKNIK SIPIL
40,82,48,67.5,59.38,237.50,TEKNIK SIPIL
52.5,88,66,55,65.38,261.50,TEKNIK SIPIL
50,76,54,70,62.50,250.00,TEKNIK SIPIL
45,74,52,50,55.25,221.00,TEKNIK SIPIL
40,76,50,67.5,58.38,233.50,TEKNIK SIPIL
45,70,50,52.5,54.38,217.50,TEKNIK SIPIL
57.5,70,48,65,60.13,240.50,TEKNIK SIPIL
62.5,80,42,65,62.38,249.50,TEKNIK SIPIL
77.5,82,40,47.5,61.75,247.00,TEKNIK SIPIL
40,78,54,67.5,59.88,239.50,TEKNIK SIPIL
40,66,60,50,54.00,216.00,TEKNIK SIPIL
60,82,42,50,58.50,234.00,TEKNIK SIPIL
45,82,56,50,58.25,233.00,TEKNIK SIPIL
52.5,70,68,35,56.38,225.50,TEKNIK SIPIL
52.5,74,46,70,60.63,242.50,TEKNIK SIPIL
47.5,68,42,62.5,55.00,220.00,TEKNIK SIPIL
55,86,52,57.5,62.63,250.50,TEKNIK SIPIL
75,76,70,65,71.50,286.00,TEKNIK SIPIL
52.5,78,50,47.5,57.00,228.00,TEKNIK SIPIL
42.5,78,62,50,58.13,232.50,TEKNIK SIPIL
72.5,80,50,62.5,66.25,265.00,TEKNIK SIPIL
30,72,58,62.5,55.63,222.50,TEKNIK SIPIL
40,70,50,60,55.00,220.00,TEKNIK SIPIL
57.5,74,52,60,60.88,243.50,TEKNIK SIPIL
70,74,44,42.5,57.63,230.50,TEKNIK SIPIL
65,86,26,72.5,62.38,249.50,TEKNIK SIPIL
65,88,40,60,63.25,253.00,TEKNIK SIPIL
57.5,74,42,55,57.13,228.50,TEKNIK SIPIL
42.5,88,50,55,58.88,235.50,TEKNIK SIPIL
35,74,74,65,62.00,248.00,ARSITEK
87.5,94,44,62.5,72.00,288.00,ARSITEK
85,88,66,85,81.00,324.00,ARSITEK
82.5,96,88,77.5,86.00,344.00,ARSITEK
62.5,80,56,55,63.38,253.50,ARSITEK
72.5,92,60,55,69.88,279.50,ARSITEK
97.5,92,78,90,89.38,357.50,ARSITEK
97.5,82,64,70,78.38,313.50,ARSITEK
55,76,60,52.5,60.88,243.50,ARSITEK
47.5,82,60,65,63.63,254.50,ARSITEK
